IN,Gibson,32750,404,313
IN,Grant,68796,773,776
IN,Greene,32463,387,349
IN,Hamilton,279287,4273,1226
IN,Hancock,68334,1025,543
IN,Harrison,37562,464,352
IN,Hendricks,140606,1804,862
IN,Henry,47827,546,546
IN,Howard,82895,1073,878
IN,Huntington,37777,460,410
IN,Jackson,42362,572,422
IN,Jasper,32816,469,297
IN,Jay,21117,298,212
IN,Jefferson,33010,377,319
IN,Jennings,28043,372,252
IN,Johnson,141501,1963,1164
IN,Knox,37907,465,447
IN,Kosciusko,76499,1088,613
IN,LaGrange,37204,719,238
IN,Lake,494211,7038,4684
IN,LaPorte,111063,1361,1059
IN,Lawrence,45842,517,485
IN,Madison,131417,1617,1429
IN,Marion,890879,14294,7307
IN,Marshall,46903,673,422
IN,Martin,9946,114,112
IN,Miami,36001,412,317
IN,Monroe,130738,1420,813
IN,Montgomery,37862,481,364
IN,Morgan,70876,898,589
IN,Newton,13736,144,143
IN,Noble,48028,697,397
IN,Ohio,5909,65,48
IN,Orange,19559,241,211
IN,Owen,22397,235,220
IN,Parke,16896,194,149
IN,Perry,18812,235,186
IN,Pike,12259,149,152
IN,Porter,163598,2009,1217
IN,Posey,26004,255,206
IN,Pulaski,13614,165,162
IN,Putnam,36837,423,315
IN,Randolph,25696,299,273
IN,Ripley,27421,384,278
IN,Rush,17175,192,183
IN,St. Joseph,267613,3797,2339
IN,Scott,23624,279,261
IN,Shelby,44503,566,413
IN,Spencer,20039,229,194
IN,Starke,23530,342,261
IN,Steuben,33579,414,283
IN,Sullivan,21153,223,242
IN,Switzerland,9675,113,97
IN,Tippecanoe,167964,2262,1054
IN,Tipton,15892,190,156
IN,Union,7040,92,69
IN,Vanderburgh,175434,2382,1852
IN,Vermillion,16172,203,228
IN,Vigo,105967,1324,1112
IN,Wabash,32558,360,400
IN,Warren,8491,87,98
IN,Warrick,58521,730,506
IN,Washington,27729,338,280
IN,Wayne,67552,854,762
IN,Wells,27566,350,257
IN,White,23452,312,272
IN,Whitley,32861,434,292
KS,Allen,13203,160,165
KS,Anderson,7872,111,88
KS,Atchison,16411,228,160
KS,Barber,4593,55,52
